,Simbol,% 1h,% 2h,% 7d
417,FYN,0.52%,4.90%,1.86%
418,TKR,-3.88%,-3.22%,2.63%
419,WTT,1.00%,-0.36%,-2.66%
420,EBST,1.10%,-8.58%,-27.86%
421,TZC,-1.17%,-4.10%,34.43%
422,INXT,-0.08%,-2.55%,-1.84%
423,ELIX,16.77%,11.79%,-22.47%
424,REX,-2.83%,-19.07%,-2.92%
425,HYP,10.82%,1.92%,-12.61%
426,BRO,-0.24%,-2.32%,-25.98%
427,INFX,-1.90%,1.16%,-2.83%
428,DFT,-0.29%,2.02%,13.12%
429,XMCC,-0.29%,17.26%,-26.76%
430,ETBS,-0.19%,5.98%,-10.88%
431,SKIN,-3.67%,3.22%,-19.45%
432,CRYPT,-0.40%,59.75%,22.10%
433,RNS,-2.26%,-9.85%,-24.35%
434,FST,-12.87%,-17.17%,0.08%
435,XHI,-0.42%,8.01%,-9.68%
436,USNBT,0.19%,-0.17%,-0.52%
437,ADZ,-0.62%,-6.43%,-7.74%
438,FIMK,4.32%,8.80%,?
439,LIFE,-2.37%,27.63%,45.88%
440,ALT,-0.28%,-23.87%,-24.13%
441,ZET,0.22%,11.84%,9.52%
442,BYC,-0.16%,-3.13%,-16.38%
443,GRWI,-0.37%,2.37%,-15.61%
444,HPC,-2.07%,17.52%,-43.83%
445,MRT,5.06%,17.13%,-11.28%
446,BRIA,-0.05%,-12.57%,0.51%
447,SUMO,14.05%,7.81%,-10.93%
448,HTC,-0.28%,-36.97%,24.46%
449,UTC,1.67%,17.57%,41.94%
450,WDC,-0.28%,-14.31%,-13.24%
451,BUN,-5.33%,293.73%,-84.39%
452,MOIN,-1.86%,4.22%,36.32%
453,BTA,2.56%,5.83%,3.72%
454,UFO,-0.42%,-23.86%,24.21%
455,KEK,-0.28%,6.74%,?
456,PIPL,16.72%,11.33%,-39.46%
457,NETKO,-0.28%,-9.67%,-14.47%
458,PIRL,0.16%,-7.85%,68.19%
459,SIGT,-2.39%,4.19%,-32.67%
460,LINX,0.98%,-18.20%,60.51%
461,UNIFY,-0.26%,-6.96%,-41.34%
462,ENT,-0.18%,0.16%,-8.67%
463,NET,-0.40%,22.28%,58.04%
464,FCN,-0.40%,-6.10%,9.23%
465,FUCK,-29.98%,-20.95%,3.64%
466,UNB,-0.02%,6.63%,5.89%
467,POS,5.08%,-4.30%,-31.91%
468,TES,-0.40%,-7.50%,-30.66%
469,XBL,-0.28%,9.89%,-17.13%
470,LDOGE,-6.69%,41.11%,-4.72%
471,CPC,-15.71%,-18.63%,-23.36%
472,RLT,0.27%,15.94%,6.21%
473,BTB,-0.40%,-7.93%,-1.18%
474,LINDA,-0.33%,-26.04%,-43.71%
475,WHL,24.43%,20.73%,20.15%
476,DDF,-0.21%,36.21%,10.27%
477,MNE,1.57%,-4.26%,-28.30%
478,SHDW,-0.28%,32.94%,177.85%
479,WGO,2.48%,2.93%,23.43%
480,GCN,-0.10%,1.59%,-47.23%
481,SMC,-0.40%,5.47%,6.57%
482,EBET,-3.14%,10.37%,-2.81%
483,INSN,-0.36%,-15.05%,-34.80%
484,XLR,-10.73%,-26.60%,-27.65%
485,ALTCOM,4.27%,-7.56%,?
486,XFT,-0.42%,3.90%,-19.42%
